device_id,timestamp,voltage,current,power,energy,frequency,power_factor
5,2025-04-27T22:34:19+05:30,231.9,0.454,96.9,0.027,50.0,0.92
4,2025-04-27T22:34:20+05:30,230.1,0.383,84.6,0.024,49.9,0.96
2,2025-04-27T22:34:21+05:30,229.2,1.484,292.5,0.081,50.0,0.86
2,2025-04-27T22:34:22+05:30,229.9,1.478,319.4,0.17,49.7,0.94
2,2025-04-27T22:34:23+05:30,231.9,1.597,300.0,0.253,50.0,0.81
3,2025-04-27T22:34:24+05:30,231.8,0.687,141.7,0.039,49.9,0.89
2,2025-04-27T22:34:25+05:30,227.3,1.909,368.8,0.355,49.9,0.85
5,2025-04-27T22:34:26+05:30,230.1,0.699,146.4,0.068,50.0,0.91
3,2025-04-27T22:34:27+05:30,229.0,0.772,152.0,0.081,50.0,0.86
3,2025-04-27T22:34:28+05:30,229.5,0.829,169.3,0.128,49.9,0.89
4,2025-04-27T22:34:29+05:30,233.4,0.339,74.4,0.045,50.1,0.94
4,2025-04-27T22:34:30+05:30,231.4,0.418,91.9,0.071,50.2,0.95
5,2025-04-27T22:34:31+05:30,232.9,0.317,64.2,0.086,50.0,0.87
2,2025-04-27T22:34:32+05:30,230.9,1.242,235.2,0.42,49.9,0.82
5,2025-04-27T22:34:33+05:30,228.6,0.22,48.3,0.099,50.0,0.96
1,2025-04-27T22:34:34+05:30,229.9,0.271,59.8,0.017,50.0,0.96
5,2025-04-27T22:34:35+05:30,229.9,0.841,183.7,0.15,50.1,0.95
5,2025-04-27T22:34:36+05:30,231.5,0.935,199.1,0.205,50.0,0.92
5,2025-04-27T22:34:37+05:30,232.6,0.542,112.2,0.236,50.1,0.89
2,2025-04-27T22:34:38+05:30,231.2,1.135,209.9,0.478,50.1,0.8
5,2025-04-27T22:34:39+05:30,234.0,0.537,116.9,0.268,49.9,0.93
5,2025-04-27T22:34:40+05:30,228.8,0.435,84.6,0.292,49.9,0.85
4,2025-04-27T22:34:41+05:30,231.7,0.303,65.3,0.089,49.9,0.93
2,2025-04-27T22:34:42+05:30,230.2,1.449,286.9,0.558,50.1,0.86
4,2025-04-27T22:34:43+05:30,231.7,0.363,77.4,0.111,50.0,0.92
4,2025-04-27T22:34:44+05:30,232.3,0.366,78.2,0.133,49.9,0.92
3,2025-04-27T22:34:45+05:30,230.9,0.514,103.3,0.157,50.0,0.87
2,2025-04-27T22:34:46+05:30,232.8,1.313,284.3,0.637,50.0,0.93
1,2025-04-27T22:34:47+05:30,230.7,0.288,65.1,0.035,50.0,0.98
3,2025-04-27T22:34:48+05:30,230.6,0.821,170.4,0.204,50.1,0.9
5,2025-04-27T22:34:49+05:30,230.6,0.804,163.2,0.337,50.1,0.88
5,2025-04-27T22:34:50+05:30,230.1,0.494,108.0,0.367,50.0,0.95
2,2025-04-27T22:34:51+05:30,232.4,1.144,249.9,0.706,49.9,0.94
3,2025-04-27T22:34:52+05:30,229.9,0.796,162.9,0.249,50.0,0.89
5,2025-04-27T22:34:53+05:30,227.0,0.738,155.8,0.41,50.1,0.93
2,2025-04-27T22:34:54+05:30,230.6,1.118,237.2,0.772,49.9,0.92
3,2025-04-27T22:34:55+05:30,231.4,0.574,124.9,0.284,50.0,0.94
2,2025-04-27T22:34:56+05:30,230.6,1.525,320.0,0.861,49.9,0.91
4,2025-04-27T22:34:57+05:30,230.0,0.513,113.3,0.164,50.1,0.96
2,2025-04-27T22:34:58+05:30,227.3,1.674,357.7,0.96,50.0,0.94
2,2025-04-27T22:34:59+05:30,230.0,1.771,354.4,1.058,50.1,0.87
3,2025-04-27T22:35:00+05:30,229.2,0.654,137.9,0.322,50.0,0.92
2,2025-04-27T22:35:01+05:30,231.4,1.526,307.2,1.143,50.0,0.87
2,2025-04-27T22:35:02+05:30,228.8,2.456,472.0,1.274,50.0,0.84
1,2025-04-27T22:35:03+05:30,231.9,0.406,94.2,0.061,50.0,1.0
3,2025-04-27T22:35:04+05:30,231.0,0.782,166.2,0.368,50.0,0.92
4,2025-04-27T22:35:05+05:30,227.3,0.28,61.7,0.181,49.8,0.97
5,2025-04-27T22:35:06+05:30,231.2,0.627,143.5,0.45,50.0,0.99
2,2025-04-27T22:35:07+05:30,231.3,1.146,233.3,1.339,49.9,0.88
2,2025-04-27T22:35:08+05:30,229.2,1.293,263.8,1.412,50.1,0.89
1,2025-04-27T22:35:09+05:30,234.6,0.265,60.3,0.078,50.1,0.97
3,2025-04-27T22:35:10+05:30,229.2,0.63,124.2,0.402,50.1,0.86
1,2025-04-27T22:35:11+05:30,233.0,0.408,94.1,0.104,50.1,0.99
4,2025-04-27T22:35:12+05:30,232.5,0.378,80.9,0.203,49.9,0.92
5,2025-04-27T22:35:13+05:30,232.1,0.506,106.9,0.48,50.0,0.91
5,2025-04-27T22:35:14+05:30,229.5,0.386,78.8,0.502,50.0,0.89
2,2025-04-27T22:35:15+05:30,227.3,1.25,235.8,1.478,50.0,0.83
5,2025-04-27T22:35:16+05:30,230.0,0.651,134.8,0.539,49.9,0.9
2,2025-04-27T22:35:17+05:30,228.2,1.472,312.4,1.565,50.0,0.93
4,2025-04-27T22:35:18+05:30,232.6,0.389,86.0,0.227,49.8,0.95
3,2025-04-27T22:35:19+05:30,232.5,0.749,163.7,0.447,50.1,0.94
5,2025-04-27T22:35:20+05:30,228.6,0.747,157.1,0.583,50.0,0.92
5,2025-04-27T22:35:21+05:30,230.1,0.31,69.9,0.602,50.2,0.98
1,2025-04-27T22:35:22+05:30,230.3,0.285,64.3,0.122,50.0,0.98
2,2025-04-27T22:35:23+05:30,231.2,1.623,311.4,1.651,50.2,0.83
2,2025-04-27T22:35:24+05:30,231.0,1.449,294.6,1.733,50.1,0.88
2,2025-04-27T22:35:25+05:30,230.4,1.336,277.0,1.81,50.1,0.9
4,2025-04-27T22:35:26+05:30,228.7,0.37,81.2,0.25,50.0,0.96
3,2025-04-27T22:35:27+05:30,231.4,0.738,155.4,0.49,50.0,0.91
4,2025-04-27T22:35:28+05:30,231.3,0.346,76.8,0.271,50.1,0.96
5,2025-04-27T22:35:29+05:30,230.8,0.612,122.9,0.636,50.0,0.87
5,2025-04-27T22:35:30+05:30,228.7,0.579,117.9,0.669,49.9,0.89
1,2025-04-27T22:35:31+05:30,229.8,0.235,53.5,0.137,49.9,0.99
3,2025-04-27T22:35:32+05:30,229.7,0.667,130.2,0.526,50.1,0.85
2,2025-04-27T22:35:33+05:30,230.7,1.488,312.4,1.897,49.9,0.91
1,2025-04-27T22:35:34+05:30,231.5,0.324,74.3,0.158,50.1,0.99
2,2025-04-27T22:35:35+05:30,225.2,1.313,275.0,1.973,50.0,0.93
5,2025-04-27T22:35:36+05:30,229.0,0.712,151.6,0.711,50.0,0.93
5,2025-04-27T22:35:37+05:30,229.5,0.607,125.4,0.746,50.0,0.9
1,2025-04-27T22:35:38+05:30,231.7,0.304,67.6,0.177,49.9,0.96
2,2025-04-27T22:35:39+05:30,230.9,1.524,334.3,2.066,50.1,0.95
4,2025-04-27T22:35:40+05:30,230.3,0.401,84.0,0.294,50.1,0.91
5,2025-04-27T22:35:41+05:30,229.4,0.43,97.7,0.773,49.9,0.99
5,2025-04-27T22:35:42+05:30,228.0,0.459,98.4,0.8,50.0,0.94
5,2025-04-27T22:35:43+05:30,231.3,0.565,126.8,0.835,49.9,0.97
1,2025-04-27T22:35:44+05:30,231.6,0.375,86.8,0.201,49.7,1.0
1,2025-04-27T22:35:45+05:30,231.9,0.26,58.5,0.217,50.1,0.97
4,2025-04-27T22:35:46+05:30,233.4,0.397,89.9,0.319,50.0,0.97
3,2025-04-27T22:35:47+05:30,229.9,0.463,96.9,0.553,50.0,0.91
2,2025-04-27T22:35:48+05:30,228.3,1.941,407.7,2.179,50.0,0.92
4,2025-04-27T22:35:49+05:30,228.8,0.337,70.2,0.339,50.0,0.91
3,2025-04-27T22:35:50+05:30,231.1,0.452,91.9,0.579,50.0,0.88
4,2025-04-27T22:35:51+05:30,231.7,0.355,74.9,0.36,49.9,0.91
4,2025-04-27T22:35:52+05:30,228.1,0.369,75.8,0.381,50.0,0.9
5,2025-04-27T22:35:53+05:30,234.4,0.614,132.4,0.872,50.1,0.92
3,2025-04-27T22:35:54+05:30,231.0,0.762,153.1,0.622,50.0,0.87
1,2025-04-27T22:35:55+05:30,231.5,0.293,65.1,0.235,50.1,0.96
5,2025-04-27T22:35:56+05:30,229.2,0.537,118.2,0.905,49.9,0.96
2,2025-04-27T22:35:57+05:30,226.7,1.519,309.9,2.265,50.0,0.9
