device_id,timestamp,voltage,current,power,energy,frequency,power_factor
1,2025-04-27 22:34:19+05:30,233.7,0.36,84.1,0.023,49.9,1.0
1,2025-04-27 22:34:20+05:30,233.4,0.344,80.3,0.046,49.7,0.94
1,2025-04-27 22:34:21+05:30,233.8,0.445,104.0,0.075,49.9,0.9
1,2025-04-27 22:34:22+05:30,234.3,0.503,117.9,0.107,49.7,1.0
1,2025-04-27 22:34:23+05:30,233.4,0.419,97.8,0.134,49.8,0.94
1,2025-04-27 22:34:24+05:30,233.4,0.451,105.3,0.164,49.8,0.92
1,2025-04-27 22:34:25+05:30,234.3,0.328,76.9,0.185,49.8,0.99
1,2025-04-27 22:34:26+05:30,233.9,0.363,84.9,0.209,49.6,0.98
1,2025-04-27 22:34:27+05:30,233.3,0.499,116.4,0.241,49.9,0.96
1,2025-04-27 22:34:28+05:30,233.8,0.403,94.2,0.267,49.9,0.92
1,2025-04-27 22:34:29+05:30,233.3,0.326,76.1,0.288,49.8,0.94
1,2025-04-27 22:34:30+05:30,233.3,0.353,82.4,0.311,49.9,0.97
1,2025-04-27 22:34:31+05:30,233.6,0.454,106.1,0.341,49.8,0.93
1,2025-04-27 22:34:32+05:30,232.5,0.463,107.6,0.371,49.7,0.94
1,2025-04-27 22:34:33+05:30,232.6,0.266,61.9,0.388,49.8,0.91
1,2025-04-27 22:34:34+05:30,233.2,0.386,90.0,0.413,49.7,0.99
1,2025-04-27 22:34:35+05:30,233.0,0.349,81.3,0.435,49.9,0.92
1,2025-04-27 22:34:36+05:30,233.7,0.343,80.2,0.458,49.7,0.97
1,2025-04-27 22:34:37+05:30,233.0,0.483,112.5,0.489,49.6,0.95
1,2025-04-27 22:34:38+05:30,232.8,0.326,75.9,0.51,49.4,0.92
1,2025-04-27 22:34:39+05:30,234.2,0.292,68.4,0.529,49.8,1.0
1,2025-04-27 22:34:40+05:30,233.4,0.269,62.8,0.546,49.8,0.96
1,2025-04-27 22:34:41+05:30,233.5,0.333,77.8,0.568,49.9,0.89
1,2025-04-27 22:34:42+05:30,232.8,0.276,64.3,0.586,49.6,1.0
1,2025-04-27 22:34:43+05:30,233.2,0.264,61.6,0.603,49.9,1.0
1,2025-04-27 22:34:44+05:30,233.6,0.261,61.0,0.62,49.8,0.93
1,2025-04-27 22:34:45+05:30,232.9,0.267,62.2,0.637,49.8,0.95
1,2025-04-27 22:34:46+05:30,233.7,0.274,64.0,0.655,49.8,0.99
1,2025-04-27 22:34:47+05:30,233.2,0.39,90.9,0.68,49.8,0.98
1,2025-04-27 22:34:48+05:30,233.4,0.154,35.9,0.69,49.6,1.0
1,2025-04-27 22:34:49+05:30,233.2,0.28,65.3,0.708,49.9,0.96
1,2025-04-27 22:34:50+05:30,234.4,0.34,79.7,0.73,49.9,0.93
1,2025-04-27 22:34:51+05:30,233.5,0.465,108.6,0.761,49.9,0.96
1,2025-04-27 22:34:52+05:30,233.0,0.325,75.7,0.782,49.8,0.9
1,2025-04-27 22:34:53+05:30,233.9,0.335,78.4,0.803,49.8,0.94
1,2025-04-27 22:34:54+05:30,232.9,0.341,79.4,0.825,49.7,0.95
1,2025-04-27 22:34:55+05:30,233.6,0.168,39.2,0.836,49.8,0.97
1,2025-04-27 22:34:56+05:30,232.5,0.416,96.7,0.863,49.8,1.0
1,2025-04-27 22:34:57+05:30,232.8,0.412,95.9,0.89,49.8,0.9
1,2025-04-27 22:34:58+05:30,233.6,0.431,100.7,0.918,49.8,1.0
1,2025-04-27 22:34:59+05:30,233.9,0.601,140.6,0.957,49.8,0.97
1,2025-04-27 22:35:00+05:30,233.6,0.22,51.4,0.971,49.8,0.83
1,2025-04-27 22:35:01+05:30,233.4,0.201,46.9,0.984,49.7,1.0
1,2025-04-27 22:35:02+05:30,233.3,0.421,98.2,1.011,49.8,0.95
1,2025-04-27 22:35:03+05:30,232.8,0.316,73.6,1.032,49.9,1.0
1,2025-04-27 22:35:04+05:30,233.1,0.251,58.5,1.048,49.7,0.92
1,2025-04-27 22:35:05+05:30,233.3,0.322,75.1,1.069,49.9,0.93
1,2025-04-27 22:35:06+05:30,234.0,0.288,67.4,1.088,49.9,0.99
1,2025-04-27 22:35:07+05:30,233.7,0.522,122.0,1.122,49.6,0.87
1,2025-04-27 22:35:08+05:30,232.6,0.576,134.0,1.159,49.9,0.91
1,2025-04-27 22:35:09+05:30,233.7,0.186,43.5,1.171,49.8,0.87
1,2025-04-27 22:35:10+05:30,233.3,0.202,47.1,1.184,49.8,0.9
1,2025-04-27 22:35:11+05:30,233.2,0.274,63.9,1.202,50.0,1.0
1,2025-04-27 22:35:12+05:30,233.8,0.281,65.7,1.22,49.9,0.9
1,2025-04-27 22:35:13+05:30,234.0,0.272,63.6,1.238,49.7,0.91
1,2025-04-27 22:35:14+05:30,234.0,0.331,77.5,1.259,49.9,0.81
1,2025-04-27 22:35:15+05:30,233.1,0.305,71.1,1.279,49.7,0.92
